Feature 1,Feature 2,Otolith type
-4.42657,20.534643,Sprattus sprattus
-24.35817,-21.058165,Clupea harengus
25.442717,-3.428319,Ammodytes tobianus
-29.11239,-19.04933,Clupea harengus
-19.420626,20.755432,Sprattus sprattus
-18.210093,39.583527,Sprattus sprattus
-13.632436,20.128456,Sprattus sprattus
53.644077,12.641655,Ammodytes marinus
-4.318403,-33.94158,Clupea harengus
-14.507516,20.927395,Sprattus sprattus
-7.5357084,-38.39082,Clupea harengus
-29.81147,-19.784693,Clupea harengus
-7.0581527,-15.950801,Clupea harengus
5.4509926,-29.902332,Clupea harengus
-19.382532,21.972666,Sprattus sprattus
-19.694721,40.104553,Sprattus sprattus
45.85856,19.290565,Ammodytes marinus
-11.356204,-9.799868,Clupea harengus
-3.0490634,37.000652,Sprattus sprattus
24.877941,36.786697,Alosa fallax
-0.33344755,-38.150623,Clupea harengus
20.726746,-3.4817917,Ammodytes tobianus
-10.711039,17.585709,Sprattus sprattus
44.57217,19.94063,Ammodytes marinus
-32.808372,-18.109623,Clupea harengus
-31.46779,-7.07943,Clupea harengus
31.353338,-13.15198,Ammodytes tobianus
8.944865,-27.226173,Clupea harengus
-1.0180266,33.719944,Sprattus sprattus
-11.795863,19.114412,Sprattus sprattus
-5.85902,-41.01205,Clupea harengus
6.150827,-30.139864,Clupea harengus
-0.55947125,-20.88132,Clupea harengus
17.491182,6.967284,Ammodytes tobianus
49.547836,20.97637,Ammodytes marinus
-11.353814,30.927704,Sprattus sprattus
-17.679808,22.119598,Sprattus sprattus
-32.71373,-16.417324,Clupea harengus
5.922912,-33.263424,Clupea harengus
-1.7800987,-32.69453,Clupea harengus
-8.763569,27.368326,Sprattus sprattus
-10.169249,23.946907,Sprattus sprattus
-4.100695,-35.356514,Clupea harengus
-25.031328,-11.9048395,Clupea harengus
1.2275778,34.017197,Sprattus sprattus
20.587374,7.3876743,Ammodytes tobianus
4.727326,29.124718,Sprattus sprattus
-19.168215,-16.387486,Clupea harengus
-23.563261,-24.067007,Clupea harengus
46.102505,17.007133,Ammodytes marinus
-14.358375,40.006416,Sprattus sprattus
-31.477587,-5.9628305,Clupea harengus
16.814981,-2.1487613,Ammodytes tobianus
-7.4725475,-35.706852,Clupea harengus
-32.61059,-22.640451,Clupea harengus
-17.399658,20.002825,Sprattus sprattus
-14.735717,-5.918778,Clupea harengus
-7.8758364,33.847744,Sprattus sprattus
-1.9090698,-32.04407,Clupea harengus
0.2858569,34.09109,Sprattus sprattus
-17.753555,16.774803,Sprattus sprattus
51.974297,18.039602,Ammodytes marinus
